,Issuer Company,Open Date,Close Date,Issue Price (Rs),Issue Size (Rs Cr.),Lot Size,Exchange,Tickers
0,Prince Pipes and Fittings Ltd IPO,"Dec 18, 2019","Dec 20, 2019",178,500.0,84,"BSE, NSE",PRINCEPIPE.NS
1,Ujjivan Small Finance Bank Ltd IPO,"Dec 02, 2019","Dec 04, 2019",37,750.0,400,"BSE, NSE",UJJIVANSFB.NS
2,CSB Bank Limited IPO,"Nov 22, 2019","Nov 26, 2019",195,409.68,75,"BSE, NSE",CSBBANK.NS
3,Vishwaraj Sugar Industries Ltd IPO,"Sep 30, 2019","Oct 04, 2019",60,60.0,240,"BSE, NSE",VISHWARAJ.NS
4,IRCTC Limited IPO,"Sep 30, 2019","Oct 03, 2019",320,645.12,40,"BSE, NSE",IRCTC.NS
5,Sterling and Wilson Solar Ltd IPO,"Aug 06, 2019","Aug 08, 2019",780,3145.16,19,"BSE, NSE",SWSOLAR.NS
6,Spandana Sphoorty Financial Ltd IPO,"Aug 05, 2019","Aug 07, 2019",856,1202.34,17,"BSE, NSE",SPANDANA.NS
7,Affle Limited IPO,"Jul 29, 2019","Jul 31, 2019",745,459.0,20,"BSE, NSE",AFFLE.NS
8,IndiaMART InterMESH Limited IPO,"Jun 24, 2019","Jun 26, 2019",973,475.59,15,"BSE, NSE",INDIAMART.NS
9,Neogen Chemicals Limited IPO,"Apr 24, 2019","Apr 26, 2019",215,132.35,65,"BSE, NSE",NEOGEN.NS
10,Polycab India Limited IPO,"Apr 05, 2019","Apr 09, 2019",538,1346.0,27,"BSE, NSE",POLYCAB.NS
11,Metropolis Healthcare Limited IPO,"Apr 03, 2019","Apr 05, 2019",880,1204.29,17,"BSE, NSE",METROPOLIS.NS
12,Rail Vikas Nigam Limited IPO,"Mar 29, 2019","Apr 03, 2019",19,481.57,780,"BSE, NSE",RVNL.NS
13,Embassy Office Parks REIT,"Mar 18, 2019","Mar 20, 2019",300,4750.0,400,"BSE, NSE",EMBASSY.BO
14,MSTC Limited IPO,"Mar 13, 2019","Mar 20, 2019",120,212.04,90,"BSE, NSE",MSTCLTD.NS
15,Chalet Hotels Limited IPO,"Jan 29, 2019","Jan 31, 2019",280,1641.18,53,"BSE, NSE",CHALET.NS
16,Xelpmoc Design and Tech Limited IPO,"Jan 23, 2019","Jan 25, 2019",66,23.0,200,"BSE, NSE",XELPMOC.NS
